window_ts,timestamp,mode,ticker,close_time,direction,btc_t0,btc_t5,btc_price_age_secs,abs_pct_move,yes_bid,yes_ask,spread,kalshi_yes_t5,mispricing,f_btc,g_misprice,stake,fill_price,count,order_id,order_result,settlement_ts,market_winner,outcome,pnl,cumulative_pnl
2026-05-04T11:15:00+00:00,dh-target,KXBTC15M-26MAY040730-30,2026-05-04T11:30:00Z,345,79033.8,79117.49,0.08,0.105891,0.77,0.78,0.01,0.775,yes,55.7348,0.0,20.5918,0.0,yes,0.013179,2.560972,1.052667,35.143,0.8,44,paper,paper
2026-05-04T11:15:00+00:00,dh-target,KXBTC15M-26MAY040730-30,2026-05-04T11:30:00Z,480,79033.8,79012.5,0.05,0.02695,0.4,0.41,0.01,0.405,no,0.0,11.974,55.7348,0.0,no,0.016076,0.433473,1.064216,11.974,0.62,19,paper,paper
2026-05-04T11:15:00+00:00,dh-target,KXBTC15M-26MAY040730-30,2026-05-04T11:30:00Z,495,79033.8,78993.75,0.12,0.050675,0.31,0.32,0.01,0.315,no,0.0,51.0948,55.7348,11.974,no,0.055886,2.081256,1.219893,39.1209,0.71,55,paper,paper
2026-05-04T11:30:00+00:00,dh-target,KXBTC15M-26MAY040745-45,2026-05-04T11:45:00Z,240,78944.87,78884.0,1.36,0.077104,0.31,0.32,0.01,0.315,no,0.0,8.3983,0.0,0.0,no,-0.045956,0.684274,0.818219,8.3983,0.71,12,paper,paper
2026-05-04T11:30:00+00:00,dh-target,KXBTC15M-26MAY040745-45,2026-05-04T11:45:00Z,255,78944.87,78884.0,0.32,0.077104,0.29,0.31,0.02,0.3,no,0.0,10.7772,0.0,8.3983,no,-0.04832,0.888012,0.809091,2.379,0.73,3,paper,paper
2026-05-04T11:30:00+00:00,dh-target,KXBTC15M-26MAY040745-45,2026-05-04T11:45:00Z,270,78944.87,78879.72,0.52,0.082526,0.28,0.29,0.01,0.285,no,0.0,13.951,0.0,10.7772,no,-0.045882,1.050955,0.818505,3.1738,0.74,4,paper,paper
2026-05-04T11:30:00+00:00,dh-target,KXBTC15M-26MAY040745-45,2026-05-04T11:45:00Z,330,78944.87,78891.13,0.24,0.068073,0.27,0.28,0.01,0.275,no,0.0,19.0978,0.0,13.951,no,-0.02244,1.538392,0.91048,5.1468,0.75,7,paper,paper
2026-05-04T11:30:00+00:00,dh-target,KXBTC15M-26MAY040745-45,2026-05-04T11:45:00Z,345,78944.87,78888.92,0.17,0.070872,0.26,0.27,0.01,0.265,no,0.0,21.3878,0.0,19.0978,no,-0.030955,1.560642,0.876809,2.2899,0.76,3,paper,paper
2026-05-04T11:30:00+00:00,dh-target,KXBTC15M-26MAY040745-45,2026-05-04T11:45:00Z,375,78944.87,78887.99,0.2,0.07205,0.27,0.28,0.01,0.275,no,0.0,24.3628,0.0,21.3878,no,-0.011209,1.705563,0.955194,2.9751,0.75,4,paper,paper
2026-05-04T11:30:00+00:00,dh-target,KXBTC15M-26MAY040745-45,2026-05-04T11:45:00Z,405,78944.87,78806.0,0.13,0.175908,0.05,0.051,0.001,0.0505,no,0.0,40.5059,0.0,24.3628,no,-0.13008,2.726233,0.522053,16.1431,0.97,17,paper,paper
2026-05-04T11:30:00+00:00,dh-target,KXBTC15M-26MAY040745-45,2026-05-04T11:45:00Z,480,78944.87,78863.19,1.2,0.103465,0.16,0.17,0.01,0.165,no,0.0,55.6318,0.0,40.5059,no,-0.00957,2.774228,0.961739,15.1258,0.86,18,paper,paper
2026-05-04T11:30:00+00:00,dh-target,KXBTC15M-26MAY040745-45,2026-05-04T11:45:00Z,525,78944.87,78852.01,0.35,0.117626,0.13,0.14,0.01,0.135,no,0.0,58.0526,0.0,55.6318,no,-0.005132,2.882204,0.979475,2.4208,0.89,3,paper,paper
